title,views,date_time,link,thumbnail
How to check if two given line segments intersect? | GeeksforGeeks,55K views,7 years ago,https://www.youtube.com/watch?v=wCR48FqkI4w,https://i.ytimg.com/vi/wCR48FqkI4w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcEMRY4BSjfWMZiaKgxwT6Cs1chA
"Search, insert and delete in an unsorted array | GeeksforGeeks",49K views,7 years ago,https://www.youtube.com/watch?v=vSOkxXxIXZE,https://i.ytimg.com/vi/vSOkxXxIXZE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgmj8oTJlWtr6XgjKgLf7oPJ1Mkg
Iterative Preorder Traversal | GeeksforGeeks,44K views,7 years ago,https://www.youtube.com/watch?v=8ACdQRScO_w,https://i.ytimg.com/vi/8ACdQRScO_w/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgtIGUoOjAP&rs=AOn4CLCot0YxgyVlIj3tTXs2_3kBcnpwZg
Check if a given array can represent Preorder Traversal of Binary Search Tree | GeeksforGeeks,32K views,7 years ago,https://www.youtube.com/watch?v=fH3XUXdinCs,https://i.ytimg.com/vi/fH3XUXdinCs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7gS0gmPqkpya2gU0JhE_0Vj_bXg
AVL Tree - Insertion | GeeksforGeeks,152K views,7 years ago,https://www.youtube.com/watch?v=ygZMI2YIcvk,https://i.ytimg.com/vi/ygZMI2YIcvk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTH1dLTFzar3s36ZwOSfyUwpiOzA
Check if two binary trees are identical (Iterative) | GeeksforGeeks,16K views,7 years ago,https://www.youtube.com/watch?v=ka0tlCl7hwI,https://i.ytimg.com/vi/ka0tlCl7hwI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCd4DZCPHVX19a4mX6VsEKEDh8FoQ
Check if a given graph is tree or not | GeeksforGeeks,28K views,7 years ago,https://www.youtube.com/watch?v=rFf4mXWbb9U,https://i.ytimg.com/vi/rFf4mXWbb9U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsyDuHiSKv3tYJ8Y_UUG8RtNCbYQ
Red Black Tree (Insertion) | GeeksforGeeks,124K views,7 years ago,https://www.youtube.com/watch?v=YCo2-H2CL6Q,https://i.ytimg.com/vi/YCo2-H2CL6Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAa1NKkPdR5JiiTYrBmHEU1N7Pbmg
Maximum equal sum possible in three stacks | GeeksforGeeks,17K views,7 years ago,https://www.youtube.com/watch?v=PZ-TNgKVX-0,https://i.ytimg.com/vi/PZ-TNgKVX-0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgsIGUoMjAP&rs=AOn4CLBpe5LW1jTH-pFJqqcezjl8vRCiuw
Iterative method to Count full nodes in a Binary tree | GeeksforGeeks,15K views,7 years ago,https://www.youtube.com/watch?v=yDY1Nfi0ipo,https://i.ytimg.com/vi/yDY1Nfi0ipo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfOraL2O8jzWjepqqjNshQs0DSxw
